no,nama,penjelasan,label
11,"Puncak Ratu, Pamekasan","Ini adalah tempat wisata paling baru di Madura karena baru beroperasi akhir Desember 2018 lalu. Berwisata di Puncak Ratu akan membawa memori Anda ke tempat wisata Kalibiru di Yogyakarta. Lokasinya yang berada di ketinggian membuat Anda bisa menikmati bentang pemandangan yang indah. Di sini banyak berjejer pohon sengon yang bentuknya mirip pohon pinus. Berpose di antara pohon-pohon ini akan membuat Anda seperti berada di daerah Lembang, Bandung. Atau ingin bersantai di hammock bersama teman-teman? Di sini juga bisa!. Selain disuguhi pemandangan alam yang indah, Anda juga bisa menikmati buah durian di kawasan ini. Puncak Ratu memang dikenal sebagai sentra durian. Saat musimnya tiba Anda juga bisa memetik buahnya langsung lho. Tapi satu hal yang penting adalah untuk tetap menjaga keselamatan Anda. Apalagi jika mengajak anak-anak ke tempat ini, karena beberapa titik di tebingnya belum dipasangi pagar dan langsung berbatasan dengan jurang.",alam
12,"Bukit Lampion Beramah, Bangkalan","Ingin me-refresh feed Instagram dengan foto-foto keren? Segera datang ke BLB atau Bukit Lampion Beramah. Tidak kalah dengan daerah lain, Bukit Lampion Beramah disulap hingga menjadi spot foto kekinian. Anda bisa berpose di pijakan kayu berbentuk love, rumah pohon, atau ayunan berbentuk sarang burung. Di sini juga ada kapal kayu yang dibuat seolah-olah terdampar dengan latar belakang pemandangan alam. Berfoto di sini Anda seperti sedang berlayar di atas awan!. Banyaknya spot foto menarik dengan pemandangan alam yang indah ditambah ornamen lampion warna warni, menjadikan tempat ini cocok untuk jadi lokasi prewedding Anda dan pasangan.",buatan
13,"Selamat Pagi Madura, Pamekasan","Selamat Pagi Madura! Inilah destinasi wisata lengkap yang wajib masuk list liburan Anda bersama orang tercinta di Pulau Sapi. Mau ngadem dari teriknya matahari Madura? Bisa! Di Selamat Pagi Madura terdapat sebuah kolam renang lengkap dengan permainan ala waterpark dan kolam renang dewasa. Mengajak anak-anak ke sini, dijamin akan membuat mereka gembira. Atau ingin mengungkapkan rasa sayang pada pasangan? Cobalah meniti tangga berbentuk hati yang ada di area Bukit Cinta. Sesampainya di puncak, Anda bisa berfoto dengan latar belakang gambar love berwarna pink berukuran besar. Ada juga spot foto kekinian yang akan membuat Anda semakin hits. Mulai dari ilustrasi 3D, nanas raksasa, rumah tua, hingga payung-payung yang terlihat melayang di udara juga bisa Anda temukan di sini. Seru kan?",buatan
14,"Gili Genting, Sumenep","Madura juga punya wisata pantai yang ciamik dan nggak kalah sama Bali lho. Salah satunya ada di Gili Genting. Untuk sampai di sini, Anda perlu menyebrang menggunakan kapal terlebih dulu. Rasa lelah selama perjalanan pun akan terbayar saat menginjakan kaki di Gili Genting. Salah satu destinasi wisatawan yang terkenal di Gili Genting adalah Pantai Sembilan. Pasir pantai yang putih, langit yang biru, serta deburan ombak mampu menghipnotis siapapun yang datang. Disebut Pantai Sembilan, karena salah satu sisinya membentuk angka sembilan jika dilihat dari udara. Di sini Anda akan dibuat puas bermain pasir pantai. Ayo segera buat istana pasir sesuai imajinasi Anda dan anak-anak! Ingin sekadar berfoto ria? Ada spot ayunan dan gazebo yang bisa Anda pilih sebagai tempat berfoto. Pantai Sembilan tidak hanya dapat dinikmati dari pantainya saja, Anda juga bisa snorkeling untuk melihat keindahan bawah lautnya. Untuk yang menyukai pemainan ekstrem, ajak teman-teman bermain banana boat pasti seru. Soal penginapan, tidak perlu khawatir karena sudah ada homestay di pantai ini.",alam
15,"Gili Labak, Sumenep","Amazing! Satu kata itu sepertinya tepat untuk menggambarkan pulau ini. Sebuah destinasi yang tepat untuk Anda melepas penat. Bayangkan kaki Anda melangkah di atas pasir putih yang lembut di sepanjang pantai ini. Sejauh mata memandang, tersaji pemandangan alam yang cantik perpaduan langit yang biru dan air laut yang jernih. Dunia bawah lautnya tak kalah menggoda, cobalah untuk snorkeling dan biarkan ikan berwarna-warni menari-nari di sekeliling Anda. Lupakan Bali atau Lombok sejenak, saatnya Anda merasakan sendiri eksotisme Gili Labak sekarang!",alam
16,"Pantai Teluk Sapoong, Sumenep","Ingin berfoto di jembatan kayu ala selebgram di Pulo Cinta yang hits tapi budget belum cukup? Ke Pantai Teluk Sapoong saja dulu! Memang di sini tidak ada villa di atas air, tapi ada jembatan kayu menjorok ke tengah laut menyerupai love dan beberapa gazebo di sisinya. Mirip kan dengan Pulo Cinta? Inilah yang menjadi lokasi favorit wisatawan untuk berfoto. Latar belakangnya juga cantik, terpampang nyata keindahan alam berupa langit biru dan air laut yang jernih dengan debur ombak yang cukup tenang. Di area pantai tak kalah menarik. Ada gazebo dan rumah pohon yang bisa jadi spot foto Anda. Pasir putihnya juga tak kalah indah dengan pantai lain di timur Indonesia. Di pinggir pantai, terdapat banyak pohon santegi dan cemara udang. Jadi walaupun cuaca panas terik, semilir angin dari pohon-pohon tersebut cukup menyejukan. Pantai Teluk Sapoong hanya satu di antara keindahan alam yang ada di Pulau Kangean. Selain berjalan kaki berkeliling pantai, ada kapal boat yang siap mengantar Anda berkeliling area pantai lho. Tertarik ke Pulau Kangean? Dari Sumenep, dibutuhkan waktu 4 jam untuk menyebrang ke pulau ini.",alam
17,"Kapal Jodoh, Pamekasan","Kalau belum berkesempatan keliling samudra menggunakan kapal pesiar, bolehlah duduk-duduk di atas kapal jodoh ini dulu. Untuk yang masih single, siapa tahu Anda bertemu jodoh di sini. Kapal Jodoh memang bukan sembarang kapal. Bangunan ini sengaja dibuat ditepi pantai dan berfungsi sebagai restoran yang dihias dengan bunga dan lampu-lampu. Ada beberapa area dengan nama unik yang bisa Anda pilih untuk tempat duduk menikmati menu di restoran ini. Sebut saja area kamar janda, kamar duda, kamar istri muda, istana cinta, dan kamar si jomblo. Menarik kan? Waktu paling tepat untuk datang ke sini tentu saja saat sore hari. Letaknya yang berada di tepi laut membuat Anda bisa dengan bebas menikmati detik-detik matahari terbenam. Kerlap kerlip lampu yang berwarna-warni sukses menambah romantisme di Kapal Jodoh ini.",buatan
18,"Air Terjun Toroan, Sampang","Penyuka wisata alam belum lengkap rasanya kalau belum menemukan air terjun. Dan inilah air terjun yang fenomenal di Madura, Air Terjun Toroan. Uniknya, air terjun ini berada di tepi laut. Aliran airnya pun langsung terjun dari atas tebing ke perairan Laut Jawa. Kalau Anda datang ke sini sore hari, dijamin akan tersihir dengan pemandangan di sekelilingnya. Bayangkan saja percikan air dari air terjun, semburat cahaya matahari yang akan terbenam, dan suara deburan ombak berpadu menjadi satu. Perfect! Tapi di air terjun ini tidak disarankan untuk berenang ya. Selain itu, Anda juga tetap harus menjaga keselamatan karena beberapa batu karangnya terasa licin.",alam
19,"Air Terjun Duko, Sumenep",Bisa dibilang air terjun ini masih perawan karena belum banyak pengunjung yang datang ke sini. Ada dua lapis air terjun di sini yang masing-masing bermuara ke sebuah kolam mata air. Jangan hanya memandanginya dengan penuh kekaguman. Saatnya berganti baju dan berendam di sini. Airnya yang jernih dan udara yang sejuk karena banyak pepohonan di sekelilingnya membuat siapapun yang datang merasa relaks. Jangan lupa untuk mengabadikan momen di sini ya.,alam
20,"Taman Tectona, Sumenep","Taman wisata ini sudah ramai dikunjungi wisatawan sejak 2017 lalu. Pantas saja kalau Taman Tectona dijuluki primadona wisata Madura, karena semua yang dicari wisatawan ada di sini. Untuk anak-anak, di sini tersedia mini outbound untuk menguji nyali mereka. Di Taman Tectona, mereka juga bisa belajar tentang tumbuhan dengan mengenal pohon-pohon yang banyak tumbuh di lokasi ini. Lalu selanjutnya anak-anak bisa menikmati kolam renang. Tenang, selain kolam renang untuk anak-anak di sini juga ada kolam renang untuk dewasa kok. Bagi pencari spot foto menarik, di sini juga banyak area yang memang dibuat menarik untuk para pengunjung berfoto. Misalnya di tengah kelopak bunga buatan, jembatan warna warni, atau rumah panggung.",buatan
21,"Kampoeng Wisata Toron Samalem, Pamekasan","Lokasi seluas 7 hektar ini dulu adalah tempat penambangan batu bata. Namun kini, lokasi ini berubah menjadi destinasi wisata yang banyak dikunjungi masyarakat Madura maupun wisatawan dari luar daerah. Di sini, Anda akan merasakan sejuknya hawa perbukitan. Lemparkan pandangan jauh ke selatan, Anda pun akan menemukan laut biru yang indah. Lelah berkeliling, Anda bisa beristirahat terlebih dulu di bangunan mirip gazebo dengan atap yang terbuat dari jerami. Jika dilihat, bangunan-bangunan ini nampak seperti rumah tradisional dari Papua. Sambil beristirahat, jangan lupa untuk berfoto di sini ya. Selain rumah jerami, di sini juga terdapat spot menarik lainnya dengan sedikit sentuhan Jepang. “Bunga sakura” yang berwarna pink terlihat mencolok di antara bangunan dan area sekelilingnya yang didominasi warna coklat.",buatan
22,"Tresna Art, Bangkalan","Jalan-jalan dan berfoto sudah, saatnya berburu oleh-oleh. Di Tresna Art, Anda bisa menemukan beragam barang ataupun makanan khas Madura seperti batik tulis, pecut, ukiran hingga hiasan dinding. Ada pula makanan seperti kacang lorjuk, otok, dan keripik gayam. Tempat ini bukan sekadar toko oleh-oleh biasa. Bangunannya yang berbentuk joglo dan dihias dengan ornamen tradisional memberikan keunikan sendiri sehingga membuat banyak pengunjung tertarik untuk berfoto ria.",buatan
23,"Kota Tua Kalianget, Sumenep","Di tempat ini, turis memang sangat dimanjakan. Baru masuk saja, pengunjung sudah disuguhkan minuman khas Bangkalan dan pisang rebus. Selain berbelanja oleh-oleh, pengunjung juga bisa mencicipi bubur khas madura gratis setiap hari Minggu dan belajar membatik setiap akhir pekan. Saat musim salak datang, di sini juga ada wisata petik salak gratis lho. Terakhir, jangan lewatkan untuk berjalan ke area belakang untuk melihat rumah adat Madura yang cantik. Salah satu bangunan yang menarik adalah bekas gedung pembangkit listrik. Lalu ada pula Menara Jam Lonceng dan sisa reruntuhan benteng Kalimook, kolam renang serta lapangan tenis. Meskipun tampak tua dan tak terurus. Sisa-sisa bangunan ini justru memberikan kesan tersendiri untuk Anda yang berfoto di sini. Yuk wisata sejarah di Kalianget!",buatan
24,"Api Tak Kunjung Padam, Pamekasan","Anda pernah dengar tentang api abadi? Di Madura juga ada. Tempat unik ini dinamakan Api Tak Kunjung Padam. Di sini, Anda akan dibuat takjub dengan api yang bisa dengan mudah muncul dari dalam tanah. Caranya pun cukup sederhana, dengan mengorek sedikit tanah lalu menyulutkan korek api. Api yang muncul memang bukan tipikal api besar yang mudah membara. Meskipun kecil, tapi titik api ini cukup banyak lho. Karena semakin banyak wisatawan yang penasaran dengan api abadi ini, sekarang Anda juga bisa berkemah di area sekitarnya. Ingin mencoba bermain-main dengan api abadi? Boleh, coba saja membuat jagung bakar di sini. Bahkan masyarakat sekitar juga ada yang menggunakan api abadi ini untuk memasak nasi. Unik kan?",alam
25,Telaga Kermata,"Rekomendasi tempat wisata di Madura yang kedua adalah Telaga Kermata. Telaga Kermata terletak di Saronggi Sumenep, dan sangat cocok untuk Anda datangi bersama keluarga. Di sini, Anda akan dimanjakan dengan hawa sejuk dan berbagai fasilitas yang ramah wisatawan. Dahulu, Kermata adalah sumber mata air. Namun pada masa penjajahan Belanda, ia berubah fungsi menjadi menjadi danau buatan yang dimanfaatkan sebagai sistem irigasi untuk sawah di sekitarnya. Anda bisa mencapai Telaga Kermata dari pusat kota Sumenep dengan jarak tempuh 7 kilometer saja.",buatan
26,Pulau Mamburit,"Rekomendasi tempat wisata di Madura yang kelima adalah Pulau Mamburit. Pulau ini memiliki keindahan alam bawah laut yang tidak kalah dengan kondisi laut di wilayah Indonesia bagian Timur. Dengan hamparan pasir putih, air laut yang jernih serta terumbu karangnya, destinasi wisata yang satu ini berhasil menggaet wisatawan untuk mengunjunginya. Tak berbeda dengan deretan pulau di wilayah Sumenep lainnya, di Pulau Mamburit Anda bisa melakukan aktivitas bawah laut seperti snorkeling untuk menikmati keindahan kehidupan terumbu karang. Tempat wisata di Madura yang satu ini patut masuk dalam daftar destinasi yang wajb dikunjungi.",alam
27,Taman Rekreasi Kota Bangkalan,"Rekomendasi tempat wisata di Madura yang keenam adalah Taman Rekreasi Kota Bangkalan. Akrab disebut TRK, Taman Rekreasi Kota Bangkalan adalah salah satu obyek wisata minat khusus tengah kota yang di kelola langsung oleh pemerintah kabupaten Bangkalan. Taman Rekreasi Kota Bangkalan ini penuh dengan berbagai macam wahana bermain anak-anak, kolam renang dan danau buatan yang di desain khusus bagi para pengunjung yang hobi memancing atau sekedar ingin bermain perahu mengelilingi danau.",buatan
28,Alun-Alun Bangkalan,,buatan
29,"Pemandian Sumber Pocong, Bangkalan","Terletak di desa Pocong, Bangkalan, Madura, Pemandian Sumber Pocong adalah salah satu destinasi wisata Madura terbaik yang patut kamu kunjungi. Berbeda dari namanya yang terdengar menyeramkan, Pemandian Sumber Pocong menawarkan suaka berlibur asri. Meski letaknya cukup tersembunyi dan butuh usaha lebih untuk mencapainya, segala rasa lelahmu akan terbayar begitu sampai di destinasi wisata di Madura satu ini. Pemandian Sumber Pocong adalah sebuah kolam air tawar yang sangat jernih. Kawasan di sekitar pemandian ini masih alami dan dikelilingi pepohonan rimbun. Mengunjungi destinasi wisata ini, kamu bisa bersantai menikmati rindangnya pepohonan atau berenang sepuas yang kamu inginkan.",alami
30,Pesisir Kwanyar,,
31,"Bukit Lampion Beramah, Galis, Bangkalan",,
32,Pantai Slopeng,"Tempat wisata di Madura yang pertama adalah Pantai Slopeng yang terletak di Sumenep. Pantai ini menjadi ikon wisata Madura yang sudah sangat populer untuk masyarakat lokalnya. Pasir Pantainya yang putih bersih serta halus menjadikan pantai ini primadona untuk dikunjungi saat musim liburan tiba. Pantai Slopeng ini letaknya hanya 21 km dari pusat Kota Sumenep. Pantai ini memiliki ombak yang tenang, sehingga sangat seru dan mengasyikan untuk dijadikan teman bermain anak-anak serta berenang seharian. Bibir pantai Slopeng terhampar sepanjang 6 km dengan air lautnya yang bening biru serta rindangnya pohon di pinggir pantainya.Untuk dapat menikmati liburan disini, kita hanya membayar tiket masuk sebesar Rp 5000 saja.",alam
33,Pantai Talang Siring,"Obyek wisata pantai Nepa merupakan wisata tersembunyi. Letaknya di daerah terpencil sehingga harus menempuh perjalanan yang cukup jauh untuk dapat menikmati keindahan wisata pantai Nepa di Madura ini. Tak hanya pasir pantai yang putih, keeksotisannya dapat dilihat dari nuansa biru laut yang cukup kontras, rindangnya pepohonan di sekitar pantai menambah keasrian wisatanya. Destinasi wisata pantai Nepa juga memiliki cerita mitos, konon di kawasan hutan ini terdapat dua kerajaan kera yang berbeda yaitu Kubu Utara dan Kubu Selatan. Meskipun demikian, kedua raja kera ini saling menghormati wilayah kekuasaan masing. Sehingga kedua kerajaan tersebut selalu hidup damai dan tentram. Bagaimana cukup unik bukan?",alam
34,Pantai Siring Kemuning,"Tempat wisata di Madura yang kedua juga masih berupa wisata pantai, namanya adalah pantai Siring Kemuning yang ada di Bangkalan. Pantai Siring Kemuning juga menjadi salah satu wisata Madura yang terkenal dan sayang untuk dilewatkan, lokasi tepatnya ada di kecamatan Tanjung Bumi.",
35,Pantai Lombang,"Pantai Lombang kepopulerannya telah ada sejak tahun 2000 an. Kepopulerannya tersebut membuat wisatawan mancanegara sering berkunjung ke sini. Bahkan pantai ini menjadi wisata favorit bagi para turis. Keindahan pantai Lombang yaitu pasir putih yang menghampar luas sejauh 12 kilometer. Maka, tak heran kalau di pantai Lombang juga terdapat spot foto yang sangat unik dan kekinian. Pantai ini juga dikelilingi pohon cemara udang yang tingginya mencapai 4 meter. Dengan adanya pohon cemara tersebut menjadikan tempat wisata pantai Lombang semakin sejuk dan membuat betah setiap pengunjung yang datang.",
36,Pantai Sambilangan,"Satu lagi tempat wisata di Madura berupa pantai yang layak untuk dikunjungi yaitu Pantai Sambilangan yang terletak di Desa Sambingan, Bangkalan, Madura. Memang, pantai ini termasuk sepi pengunjung, namun pemandangan alamnya masih asri dan alami. Untuk menuju pantai ini, kita beranjak sekitar 7 km di sebelah selatan dari kota Bangkalan, di desa Sambilangan , kecamatan Bangkalan, Madura, Jawa Timur. Pantai ini masih terpencil, namun pada saat anda tiba di pantai ini anda tetap akan dikenakan tiket masuk kendaraan. Untuk kendaraan mobil akan dikenakan tarif sebesar Rp 3.000*) sedangkan motor sebesar Rp 2.000*).",
37,Museum Keraton,,
38,Pantai Rongkang,"Destinasi wisata pantai Rongkang merupakan salah satu obyek wisata yang lagi hits setahun belakangan. Pastinya tak kalah menarik dengan pantai-pantai lainnya di pulau Jawa. Tak hanya libur nasional, pantai Rongkang juga dipadati penunjung setiap hari (weekday). Wisatawan berbondong-bondong untuk menikmati keindahan pandai yang masih alami dan udara yang sejuk,",
39,Pantai Nepa,,
40,Hutan Bawah Laut Kangean,,
41,Mercusuar Sembilangan,"Mercusuar Bangkalan merupakan destinasi wisata Madura bersejarah. Bangunan ini merupakan peninggalan Belanda yang didirikan pada tahun 1879.Meskipun bangunan tua, sampai hari ini Mercusuar Bangkalan masih berfungsi dengan baik. Keindahannya akan terlihat pada malam hari dengan sorot lampu dengan jarak tembak mencapai 20 mil. Dari atas bangunan ini kamu akan dapat menyaksikan keindahan Selat Madura. Tak hanya itu, momen yang dinanti-nanti adalah melihat sunset dan sunrise.",
42,Air Terjun Kokop,,
43,Gua Blaban,"Menjelajah goa Blaban menjadi tempat wisata paling dominan bagi wisatawan yang berkunjung ke Pulau Madura. Goa Blaban merupakan Goa yang cukup unik, baru ditemukan pada tahun 2014 lalu. Goa ini juga dikenal sebagai goa mas atau goa bintang. Saat berkunjung ke goa Blaban, kamu akan menemukan pintu masuk berupa sumur yang dalamnya mencapai 4 meter. Kemudian terdapat tangga besi melingkar untuk menuruni sumur saat akan menjelajahi goa Blaban ini. Setiap pengunjung yang ingin menjelajah goa diberikan waktu kurang lebih 15 menit untuk menjelajah agar bisa bergantian dengan pengunjung lainnya. Pemandangan yang ada di dalam goa didominasi oleh stalaktit dan stalakmit yang akan membawa kamu ke dalam suasana yang berbeda.",
44,Pantai Juming,,
45,Monumen Sampang,,
46,Monumen Arek Lancor,,
47,Tirta Sumekar Indah,,
48,Pantai Camplong,,
49,Pantai Batu Kerbuy,,
50,Pantai Ponjuk Timur Talango,,
